No,City,State,Type,Population,Population class
174,Purnia,Bihar,Municipal Corporation / Corporation.,pop,
175,Baharampur,West Bengal,Municipality,pop,Class I
176,Barmer,Rajasthan,Nagar Parishad,pop,Class I
177,Morvi,Gujarat,Municipality,pop,Class I
178,Orai,Uttar Pradesh,Nagar Palika Parishad.,pop,Class I
179,Bahraich,Uttar Pradesh,Nagar Palika Parishad,pop,Class I
180,Sikar,Rajasthan,Urban Agglomeration,pop,
181,Vellore,Tamil Nadu,Municipal Corporation / Corporation.,pop,Class I
182,Singrauli,Madhya Pradesh,Municipal Corporation / Corporation.,pop,
183,Khammam,Telangana,Municipal Corporation / Corporation,pop,Class I
184,Mahesana,Gujarat,Municipality,pop,Class I
185,Silchar,Assam,Urban Agglomeration,pop,
186,Sambalpur,Odisha,Municipal Corporation / Corporation.,pop,Class I
187,Rewa,Madhya Pradesh,Municipal Corporation / Corporation.,pop,
188,Unnao,Uttar Pradesh,Nagar Palika Parishad.,pop,Class I
189,Hugli-Chinsurah,West Bengal,Municipality,pop,Class I
190,Raiganj,West Bengal,Urban Agglomeration,pop,
191,Phusro,Jharkhand,Urban Agglomeration,pop,
192,Adityapur,Jharkhand,Nagar Panchayat.,pop,Class I
193,Alappuzha,Kerala,Municipality,pop,Class I
194,Bahadurgarh,Haryana,Municipal Council,pop,Class I
195,Machilipatnam,Andhra Pradesh,Municipality,pop,Class I
196,Rae Bareli,Uttar Pradesh,Municipal board,pop,
197,Jalpaiguri,West Bengal,Municipal Corporation / Corporation,pop,Class I
198,Bharuch,Gujarat,Municipality,pop,Class I
199,Pathankot,Punjab,Urban Agglomeration,pop,
200,Hoshiarpur,Punjab,Municipal Council,pop,Class I
201,Baramula,Jammu and Kashmir,Municipal Council,pop,Class I
202,Adoni,Andhra Pradesh,Municipality,pop,Class I
203,Jind,Haryana,Municipal Council,pop,Class I
204,Tonk,Rajasthan,Municipal Council,pop,Class I
205,Tenali,Andhra Pradesh,Municipality,pop,Class I
206,Kancheepuram,Tamil Nadu,Municipality,pop,Class I
207,Vapi,Gujarat,Municipality,pop,Class I
208,Sirsa,Haryana,Municipal Council,pop,
209,Navsari,Gujarat,Municipality,pop,Class I
210,Mahbubnagar,Telangana,Municipality,pop,Class I
211,Puri,Odisha,Municipality,pop,
212,Robertson Pet,Karnataka,Urban Agglomeration,pop,
213,Erode,Tamil Nadu,Municipal Corporation / Corporation.,pop,Class I
214,Batala,Punjab,Municipal Council,pop,Class I
215,Haldwani-cum-Kathgodam,Uttarakhand,Nagar Palika Parishad,pop,Class I
216,Vidisha,Madhya Pradesh,Municipality,pop,Class I
217,Saharsa,Bihar,Nagar Panchayat,pop,Class I
218,Thanesar,Haryana,Municipal Council,pop,Class I
219,Chittoor,Andhra Pradesh,Municipal Corporation / Corporation.,pop,Class I
220,Veraval,Gujarat,Municipality,pop,Class I
221,Lakhimpur,Uttar Pradesh,Nagar Palika Parishad,pop,Class I
222,Sitapur,Uttar Pradesh,Municipal board,pop,
223,Hindupur,Andhra Pradesh,Municipality,pop,Class I
224,Santipur,West Bengal,Municipality,pop,Class I
225,Balurghat,West Bengal,Municipality,pop,Class I
226,Ganjbasoda,Madhya Pradesh,Nagar Panchayat.,pop,Class I
227,Moga,Punjab,Municipal Council,pop,Class I
228,Proddatur,Andhra Pradesh,Municipality,pop,
229,Srinagar,Uttarakhand,,pop,
230,Medinipur,West Bengal,Municipality,pop,
231,Habra,West Bengal,Municipality,pop,Class II
232,Sasaram,Bihar,Nagar Panchayat,pop,Class I
233,Hajipur,Bihar,Nagar Panchayat,pop,Class I
234,Bhuj,Gujarat,Municipality,pop,Class I
235,Shivpuri,Madhya Pradesh,Municipality,pop,
236,Ranaghat,West Bengal,Urban Agglomeration,pop,
237,Shimla,Himachal Pradesh,Urban Agglomeration,pop,
238,Tiruvannamalai,Tamil Nadu,Municipality,pop,Class I
239,Kaithal,Haryana,Municipal Council,pop,Class I
240,Rajnandgaon,Chhattisgarh,Municipal Corporation / Corporation.,pop,
241,Godhra,Gujarat,Municipality,pop,Class I
242,Hazaribag,Jharkhand,Nagar Panchayat,pop,Class I
243,Bhimavaram,Andhra Pradesh,Municipality,pop,Class I
244,Mandsaur,Madhya Pradesh,Municipality,pop,Class I
245,Dibrugarh,Assam,Municipal board,pop,Class I
246,Kolar,Karnataka,City Municipal Council,pop,Class I
247,Bankura,West Bengal,Municipality,pop,Class I
248,Mandya,Karnataka,City Municipal Council,pop,Class I
249,Dehri-on-Sone,Bihar,Nagar Panchayat,pop,Class I
